/* Start up: 7/22/2018 1:45:10 AM */

[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 3:59:14 AM */

[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:30 AM] [ExecutionContext.RunInternal] » [DEBUG] [DEV]Star has been kicked out from the server because hasn't a tcp connection
[7/22/2018 3:59:31 AM] [User.ReceiveData] » [DEBUG] Maurice320x No TCP Client - kick out
[7/22/2018 3:59:49 AM] [ExecutionContext.RunInternal] » [DEBUG] [DEV]Star has been kicked out from the server because hasn't a tcp connection
[7/22/2018 3:59:50 AM] [ExecutionContext.RunInternal] » [DEBUG] Maurice320x has been kicked out from the server because hasn't a tcp connection
/* Start up: 7/22/2018 4:02:38 AM */

[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 4:06:48 AM */

[7/22/2018 4:06:51 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:06:51 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:06:51 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:06:51 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:06:51 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:06:51 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:06:51 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:05:38 AM] [User.ReceiveData] » 6IX9INE tried to delete CP30 but he haven't it!
[7/22/2018 9:40:12 AM] [User.ReceiveData] » [DEBUG] MercyHunt No TCP Client - kick out
[7/22/2018 11:41:03 AM] [User.ReceiveData] » [DEBUG] MrSnap No TCP Client - kick out
[7/22/2018 11:41:13 AM] [User.ReceiveData] » [DEBUG] Phil No TCP Client - kick out
/* Start up: 7/22/2018 7:30:04 PM */

[7/22/2018 7:30:08 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:30:08 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:30:08 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:30:08 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:30:08 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:30:08 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:30:08 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 7:49:17 PM */

[7/22/2018 7:49:20 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:49:20 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:49:20 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:49:20 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:49:20 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:49:20 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:49:20 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 7:55:58 PM */

[7/22/2018 7:56:02 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:56:02 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:56:02 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:56:02 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:56:02 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:56:02 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 7:56:02 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 8:02:46 PM */

[7/22/2018 8:02:49 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:02:49 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:02:49 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:02:49 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:02:49 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:02:49 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:02:49 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 8:17:05 PM */

[7/22/2018 8:17:09 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:17:09 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:17:09 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:17:09 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:17:09 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:17:09 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:17:09 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 8:29:59 PM */

[7/22/2018 8:30:03 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:30:03 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:30:03 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:30:03 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:30:03 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
