/* Start up: 8/11/2018 11:16:26 PM */

[8/11/2018 11:16:36 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:16:36 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:16:36 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:16:36 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:16:37 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:16:37 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:16:37 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 8/11/2018 11:20:57 PM */

[8/11/2018 11:21:02 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:21:02 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:21:02 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:21:02 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:21:02 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:21:02 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:21:02 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:23:02 PM] [User.ReceiveData] » [DEBUG] MrSnap No TCP Client - kick out
/* Start up: 8/11/2018 11:41:38 PM */

/* Start up: 8/11/2018 11:43:35 PM */

[8/11/2018 11:43:39 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:43:39 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:43:39 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:43:39 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:43:39 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:43:39 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:43:39 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 8/11/2018 11:52:10 PM */

[8/11/2018 11:52:14 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:52:14 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:52:14 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:52:14 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:52:14 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:52:14 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/11/2018 11:52:14 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:00:15 AM] [ExecutionContext.RunInternal] » Daily reset done at 00:00:15 - 12/08/2018
