/* Start up: 8/12/2018 12:04:37 AM */

[8/12/2018 12:04:40 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:04:40 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:04:40 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:04:40 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:04:40 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:04:40 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:04:40 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 8/12/2018 12:06:15 AM */

[8/12/2018 12:06:19 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:06:19 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:06:19 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:06:19 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:06:19 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:06:19 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:06:19 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 8/12/2018 12:07:41 AM */

[8/12/2018 12:07:45 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:07:45 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:07:45 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:07:45 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:07:45 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:07:45 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:07:45 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 8/12/2018 12:09:22 AM */

[8/12/2018 12:09:25 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:09:25 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:09:25 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:09:25 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:09:25 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:09:25 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:09:25 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 8/12/2018 12:11:32 AM */

[8/12/2018 12:11:35 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[8/12/2018 12:11:35 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
